name,positive,negative
Manet, "Manet style {prompt}, Realistic, impressionistic, bold, contemporary," "abstract, traditional, timid, historical"
Vermeer, "Vermeer style {prompt}, Baroque, detailed, light, tranquil," "abstract, rough, dark, chaotic"
Caravaggio, "Caravaggio style {prompt}, Baroque, chiaroscuro, dramatic, realistic," "soft lighting, calm, abstract, idealized"
Rodin, "Rodin style {prompt}, Realistic, expressive, textured, bronze," "smooth, emotionless, polished, painted"
Botticelli, "Botticelli style {prompt}, Early Renaissance, allegorical, graceful, detailed," "abstract, harsh, simplified, rough"
Edward Hopper, "Edward Hopper style {prompt}, Realistic, isolation, architectural, strong contrast," "crowded, organic, soft lighting, abstract"
Keith Haring, "Keith Haring style {prompt}, Pop art, bold lines, vibrant colors, social messages," "subtle, realistic, muted colors, personal"
Damien Hirst, "Damien Hirst style {prompt}, Contemporary, shocking, conceptual, large scale," "traditional, calming, handcrafted, small scale"
Yayoi Kusama, "Yayoi Kusama style {prompt}, Contemporary, polka dots, immersive, psychedelic," "traditional, plain, minimalist, calm"
Francis Bacon, "Francis Bacon style {prompt}, Existential, distorted, unsettling, expressive," "comforting, realistic, calm, subdued"
Ai Weiwei, "Ai Weiwei style {prompt}, Conceptual, political, traditional Chinese materials, large-scale," "apolitical, contemporary, small-scale, western materials"
Cindy Sherman, "Cindy Sherman style {prompt}, Conceptual, self-portrait, character study, cinematic," "landscape, group portraits, candid, documentary"
Frank Stella, "Frank Stella style {prompt}, Minimalist, geometric, large scale, non-representational," "maximalist, organic, small scale, representational"
Lucian Freud, "Lucian Freud style {prompt}, Realistic, impasto, psychological, intimate," "abstract, smooth, impersonal, public"
Marc Chagall, "Marc Chagall style {prompt}, Dreamlike, vibrant, symbolic, folklore-inspired," "realistic, subdued, literal, modern"
Roy Lichtenstein, "Roy Lichtenstein style {prompt}, Pop art, comic strip influence, bold outlines, primary colors," "abstract, realistic, pastel colors, complex"
Thomas Kinkade, "Thomas Kinkade style {prompt}, Romantic, idealized, warm light, detailed," "abstract, harsh, cool light, minimalist"
Joan Miró, "Joan Miró style {prompt}, Surrealist, abstract, biomorphic forms, primary colors," "realistic, figurative, complex, muted colors"
Gerhard Richter, "Gerhard Richter style {prompt}, Abstract, textured, layered, scraped," "realistic, smooth, single-layer, detailed"
Wassily Kandinsky, "Wassily Kandinsky style {prompt}, Abstract, geometric, vibrant, musical," "realistic, organic, muted, silent"
Norman Rockwell, "Norman Rockwell style {prompt}, Realistic, narrative, Americana, detailed," "abstract, non-narrative, foreign, minimalist"
Bridget Riley, "Bridget Riley style {prompt}, Op art, geometric, black and white, optical illusion," "organic, color, realistic, straightforward"
Piet Mondrian, "Piet Mondrian style {prompt}, De Stijl, geometric, primary colors, black grid," "organic, multiple colors, no grid, curved lines"
Salvador Dali, "Salvador Dali style {prompt}, Surrealist, dreamlike, symbolic, detailed," "realistic, ordinary, literal, sketchy"
Mary Cassatt, "Mary Cassatt style {prompt}, Impressionist, domestic life, soft colors, loose brushwork," "abstract, public life, vibrant colors, precise"
Diego Rivera, "Diego Rivera style {prompt}, Muralist, social realist, Mexican culture, narrative," "miniature, abstract, foreign, non-narrative"
Jean-Michel Basquiat, "Jean-Michel Basquiat style {prompt}, Neo-expressionist, graffiti influence, raw, socially critical," "classical, polished, refined, apolitical"
Henry Moore, "Henry Moore style {prompt}, Abstract, organic, bronze, monumental," "realistic, geometric, miniature, pastel"
Frida Kahlo, "Frida Kahlo style {prompt}, Surrealist, symbolic, vibrant, autobiographical," "realistic, abstract, dull, impersonal"
Grant Wood, "Grant Wood style {prompt}, Regionalist, rural, detailed, Americana," "urban, abstract, vague, non-American"
Edward Hopper, "Edward Hopper style {prompt}, Realistic, isolation, strong light, urban," "impressionistic, crowded, soft light, rural"
Andy Goldsworthy, "Andy Goldsworthy style {prompt}, Environmental art, natural materials, temporary, site-specific," "urban art, man-made materials, permanent, unspecific site"
Louise Bourgeois, "Louise Bourgeois style {prompt}, Abstract, psychological, large-scale, organic," "realistic, impersonal, small-scale, geometric"
Ansel Adams, "Ansel Adams style {prompt}, Black and white, nature, high contrast, detailed," "color, urban, low contrast, vague"
Yoko Ono, "Yoko Ono style {prompt}, Conceptual, minimalist, performance, participatory," "decorative, maximalist, static, non-interactive"
Gustav Klimt, "Gustav Klimt style {prompt}, Symbolist, decorative, golden, intricate," "realistic, functional, monochrome, simplified"
Jeff Koons, "Jeff Koons style {prompt}, Contemporary, kitsch, glossy, large-scale," "traditional, serious, matte, small-scale"
John Singer Sargent, "John Singer Sargent style {prompt}, Realistic, elegant, portrait, expressive," "abstract, casual, landscape, subdued"
Marcel Duchamp, "Marcel Duchamp style {prompt}, Dada, readymade, conceptual, controversial," "traditional, handmade, decorative, safe"
Claude Monet, "Claude Monet style {prompt}, Impressionist, outdoor, light, loose brushwork," "neoclassical, indoor, dark, tight brushwork"
Anish Kapoor, "Anish Kapoor style {prompt}, Abstract, large-scale, reflective, curved," "figurative, small-scale, matte, straight lines"
Hieronymus Bosch, "Hieronymus Bosch style {prompt}, Surrealist, detailed, religious, narrative," "realistic, abstract, secular, non-narrative"
Paul Gauguin, "Paul Gauguin style {prompt}, Post-Impressionist, exotic, bold colors, flat," "Impressionist, familiar, muted colors, volumetric"
Katsushika Hokusai, "Katsushika Hokusai style {prompt}, Ukiyo-e, nature, woodblock print, detailed," "western style, urban, oil painting, abstract"
Pierre-Auguste Renoir, "Pierre-Auguste Renoir style {prompt}, Impressionist, joyful, light, loose brushwork," "neoclassical, somber, dark, tight brushwork"
Antony Gormley, "Antony Gormley style {prompt}, Sculpture, human form, rusted, site-specific," "painting, abstract, polished, gallery-based"
Kazimir Malevich, "Kazimir Malevich style {prompt}, Suprematist, abstract, geometric, minimal," "realistic, organic, decorative, complex"
Jean-Antoine Watteau, "Jean-Antoine Watteau style {prompt}, Rococo, outdoor, elegant, lively," "Baroque, indoor, serious, static"
Constantin Brancusi, "Constantin Brancusi style {prompt}, Modernist, abstract, bronze, streamlined," "traditional, figurative, wood, complex"
Egon Schiele, "Egon Schiele style {prompt}, Expressionist, figure, distorted, emotional," "Impressionist, landscape, proportional, detached"
Nam June Paik, "Nam June Paik style {prompt}, Video art, technological, interactive, large-scale," "painting, traditional, static, small-scale"
James Whistler, "James Whistler style {prompt}, Tonalism, atmospheric, subdued, abstract," "Fauvism, vibrant, bold, detailed"
Wassily Kandinsky, "Wassily Kandinsky style {prompt}, Abstract, musical, geometric, vibrant," "realistic, silent, organic, subdued"
Lucio Fontana, "Lucio Fontana style {prompt}, Spatialism, monochrome, slashed, minimal," "Futurism, colorful, whole, detailed"
Artemisia Gentileschi, "Artemisia Gentileschi style {prompt}, Baroque, dramatic, biblical, female-centric," "Rococo, calm, mythological, male-centric"
Jean Dubuffet, "Jean Dubuffet style {prompt}, Art Brut, textured, primal, abstract," "Academic art, smooth, refined, realistic"
Sandro Botticelli, "Sandro Botticelli style {prompt}, Early Renaissance, mythological, linear, vibrant," "Baroque, historical, painterly, subdued"
Carl Andre, "Carl Andre style {prompt}, Minimalist, geometric, industrial, ground-level," "Baroque, organic, handcrafted, elevated"
David Hockney, "David Hockney style {prompt}, Pop art, landscape, vibrant, digital," "Abstract Expressionism, figure, subdued, traditional"
Cindy Sherman, "Cindy Sherman style {prompt}, Conceptual, self-portrait, character study, cinematic," "landscape, group portraits, candid, documentary"
Jenny Holzer, "Jenny Holzer style {prompt}, Conceptual, text-based, public, LED," "painting, image-based, private, canvas"
Dante Gabriel Rossetti, "Dante Gabriel Rossetti style {prompt}, Pre-Raphaelite, medieval, literary, romantic," "Futurist, modern, abstract, stark"
Zaha Hadid, "Zaha Hadid style {prompt}, Modernist, organic, futuristic, curved," "Classical, geometric, traditional, straight lines"
Takashi Murakami, "Takashi Murakami style {prompt}, Superflat, pop culture, colorful, cartoonish," "Cubist, high culture, monochrome, realistic"
Edward Weston, "Edward Weston style {prompt}, Photography, black and white, still life, detailed," "Painting, color, action, abstract"
Edvard Munch, "Edvard Munch style {prompt}, Expressionist, psychological, bold colors, distorted," "Impressionist, physical, muted colors, proportional"
Ai Weiwei, "Ai Weiwei style {prompt}, Contemporary, political, traditional Chinese materials, large-scale," "Classical, apolitical, modern materials, small-scale"
Georges Braque, "Georges Braque style {prompt}, Cubist, abstract, collage, muted colors," "Romantic, realistic, oil painting, vibrant colors"
Sol LeWitt, "Sol LeWitt style {prompt}, Conceptual, geometric, minimal, instructional," "Expressionist, organic, complex, spontaneous"
Mary Cassatt, "Mary Cassatt style {prompt}, Impressionist, domestic, pastel, feminine," "Realist, urban, oil, masculine"
Damien Hirst, "Damien Hirst style {prompt}, Contemporary, controversial, installation, medical," "Classical, traditional, canvas, floral"
Giuseppe Arcimboldo, "Giuseppe Arcimboldo style {prompt}, Mannerist, portrait, food, symbolic," "Cubist, landscape, abstract, literal"
Yves Klein, "Yves Klein style {prompt}, Nouveau realisme, monochrome, blue, performance," "Pop Art, colorful, red, static"
Frida Kahlo, "Frida Kahlo style {prompt}, Surrealist, autobiographical, vibrant, symbolic," "Realist, historical, muted, literal"
Piet Mondrian, "Piet Mondrian style {prompt}, De Stijl, geometric, primary colors, balanced," "Surrealist, organic, pastel colors, chaotic"
Bridget Riley, "Bridget Riley style {prompt}, Op Art, geometric, black and white, optical," "Impressionist, organic, colorful, static"
Mark Rothko, "Mark Rothko style {prompt}, Abstract Expressionist, color field, large-scale, emotional," "Pop Art, pattern, small-scale, detached"
Joseph Beuys, "Joseph Beuys style {prompt}, Fluxus, performance, social sculpture, felt," "Minimalism, painting, object, metal"
Berthe Morisot, "Berthe Morisot style {prompt}, Impressionist, feminine, domestic, light," "Surrealist, masculine, public, dark"
Agnes Martin, "Agnes Martin style {prompt}, Minimalist, geometric, grid, subtle," "Baroque, organic, floral, bold"
Yayoi Kusama, "Yayoi Kusama style {prompt}, Contemporary, polka dots, infinity rooms, red," "Classical, plain, single room, blue"
Andy Goldsworthy, "Andy Goldsworthy style {prompt}, Environmental, temporary, nature, outdoors," "Industrial, permanent, man-made, indoors"
Henri Cartier-Bresson, "Henri Cartier-Bresson style {prompt}, Photography, decisive moment, black and white, candid," "Painting, posed, color, staged"
Marina Abramovic, "Marina Abramovic style {prompt}, Performance, endurance, audience participation, minimal," "Sculpture, instant, observer, complex"
Man Ray, "Man Ray style {prompt}, Dada, photography, rayograph, experimental," "Realism, painting, traditional, conventional"
Kathe Kollwitz, "Kathe Kollwitz style {prompt}, Expressionist, social realism, black and white, human suffering," "Impressionist, aestheticism, color, human joy"
Robert Rauschenberg, "Robert Rauschenberg style {prompt}, Neo-Dada, combine, mixed-media, assemblage," "Minimalism, singular material, oil painting, separated"
Lyonel Feininger, "Lyonel Feininger style {prompt}, Expressionist, Cubist, architecture, transparent," "Impressionist, organic, landscape, opaque"
Tracey Emin, "Tracey Emin style {prompt}, YBA, confessional, neon, textile," "Old Masters, universal, oil, marble"
Rene Magritte, "Rene Magritte style {prompt}, Surrealist, object, juxtaposition, mystery," "Realist, figure, relation, clarity"
Henry Moore, "Henry Moore style {prompt}, Modernist, sculpture, organic, monumental," "Classical, painting, geometric, small"
Rachel Whiteread, "Rachel Whiteread style {prompt}, Contemporary, sculpture, negative space, cast," "Traditional, drawing, positive space, sketch"
Tomma Abts, "Tomma Abts style {prompt}, Abstract, geometric, small-scale, acrylic and oil," "Figurative, organic, large-scale, watercolor"
Max Ernst, "Max Ernst style {prompt}, Surrealist, collage, frottage, dreamlike," "Realist, oil painting, brushwork, day-to-day"
Richard Serra, "Richard Serra style {prompt}, Minimalist, sculpture, corten steel, site-specific," "Baroque, painting, canvas, gallery-specific"
Ernst Ludwig Kirchner, "Ernst Ludwig Kirchner style {prompt}, Expressionist, urban, woodcut, vibrant," "Impressionist, rural, oil painting, subdued"
Eva Hesse, "Eva Hesse style {prompt}, Postminimalist, sculpture, organic, fiberglass," "Minimalist, painting, geometric, canvas"
Paul Cezanne, "Paul Cezanne style {prompt}, Post-Impressionist, still life, geometric, brushwork," "Impressionist, action, organic, smooth"
Francis Bacon, "Francis Bacon style {prompt}, Expressionist, distorted, triptych, anguish," "Classical, proportional, single panel, contentment"
Louise Bourgeois, "Louise Bourgeois style {prompt}, Contemporary, sculpture, feminist, fabric," "Classical, painting, patriarchal, oil"
Chuck Close, "Chuck Close style {prompt}, Photorealism, portrait, large-scale, gridded," "Impressionism, landscape, small-scale, loose"
Thomas Gainsborough, "Thomas Gainsborough style {prompt}, Rococo, landscape, elegant, oil," "Baroque, portrait, casual, pastel"
Gerhard Richter, "Gerhard Richter style {prompt}, Abstract, squeegee, photo-based, blurred," "Realistic, brushwork, imagination-based, detailed"
Jean-Michel Basquiat, "Jean-Michel Basquiat style {prompt}, Neo-expressionist, graffiti, crown, vibrant," "Photorealism, calligraphy, mundane, subdued"
Alexander Calder, "Alexander Calder style {prompt}, Kinetic, mobile, primary colors, balanced," "Static, statue, pastel colors, unbalanced"
Jackson Pollock, "Jackson Pollock style {prompt}, Abstract Expressionist, drip, large-scale, spontaneous," "Cubist, precise, small-scale, planned"
Anselm Kiefer, "Anselm Kiefer style {prompt}, Neo-expressionist, monumental, textured, historical," "Minimalist, small-scale, smooth, futuristic"
Amedeo Modigliani, "Amedeo Modigliani style {prompt}, Modernist, portrait, elongated, nude," "Cubist, landscape, proportional, clothed"
Gilbert & George, "Gilbert & George style {prompt}, Contemporary, photographic, duo, confrontational," "Traditional, painted, individual, pleasant"
El Greco, "El Greco style {prompt}, Mannerist, religious, elongated, dramatic," "Renaissance, secular, proportional, calm"
Salvador Dali, "Salvador Dali style {prompt}, Surrealist, dreamlike, precise, melting," "Realist, day-to-day, loose, solid"
Rembrandt van Rijn, "Rembrandt van Rijn style {prompt}, Baroque, self-portrait, chiaroscuro, etching," "Rococo, group portrait, bright, oil painting"
Keith Haring, "Keith Haring style {prompt}, Pop art, street art, bold lines, active figures," "Impressionism, studio art, fine brushwork, passive landscape"
Georgia O'Keeffe, "Georgia O'Keeffe style {prompt}, Modernist, flowers, close-up, sensual," "Cubist, objects, far-off, detached"
Caravaggio, "Caravaggio style {prompt}, Baroque, tenebrism, dramatic, religious," "Renaissance, bright, calm, secular"
Louise Nevelson, "Louise Nevelson style {prompt}, Abstract expressionist, sculpture, monochrome, found objects," "Realist, painting, colorful, new materials"
James Turrell, "James Turrell style {prompt}, Land art, light, immersive, perceptual," "Street art, dark, observational, intellectual"
edouard Manet, "edouard Manet style {prompt}, Realist, modern life, loose brushwork, controversial," "Romantic, history, fine brushwork, conventional"
Marc Chagall, "Marc Chagall style {prompt}, Surrealist, dreamlike, colorful, narrative," "Realist, day-to-day, monochrome, non-narrative"
Dan Flavin, "Dan Flavin style {prompt}, Minimalist, light, fluorescent, site-specific," "Baroque, dark, oil, gallery-specific"
Sarah Lucas, "Sarah Lucas style {prompt}, YBA, feminist, readymade, provocative," "Old Masters, masculine, handmade, conservative"
Johannes Vermeer, "Johannes Vermeer style {prompt}, Baroque, domestic, light, detailed," "Cubist, public, dark, abstract"
Tadao Ando, "Tadao Ando style {prompt}, Minimalist, concrete, light, water," "Baroque, brick, dark, dry"
Roy Lichtenstein, "Roy Lichtenstein style {prompt}, Pop art, comic strip, benday dots, primary colors," "Abstract expressionism, serious subject, brushwork, secondary colors"
Joseph Cornell, "Joseph Cornell style {prompt}, Surrealist, box, found objects, nostalgic," "Minimalist, open space, new materials, contemporary"
Gustave Courbet, "Gustave Courbet style {prompt}, Realist, rural life, coarse brushwork, controversial," "Neoclassical, noble life, fine brushwork, conventional"
Richard Long, "Richard Long style {prompt}, Land art, circle, natural materials, ephemeral," "Street art, square, synthetic materials, permanent"
Otto Dix, "Otto Dix style {prompt}, New Objectivity, war, grotesque, social critique," "Impressionism, peace, beautiful, aesthetic enjoyment"
Barnett Newman, "Barnett Newman style {prompt}, Abstract expressionism, zip, large-scale, color field," "Pop art, pattern, small-scale, comic strip"
Sophie Calle, "Sophie Calle style {prompt}, Conceptual, photography, text, personal," "Abstract, painting, brushwork, universal"
KAWS, "KAWS style {prompt}, Pop art, vinyl toy, X eyes, cartoonish," "Conceptual, bronze statue, normal eyes, realistic"
Francis Picabia, "Francis Picabia style {prompt}, Dada, machine, painting, provocative," "Impressionism, nature, sketch, pleasant"
H,R, Giger, "H,R, Giger style {prompt}, Surrealist, biomechanical, airbrush, dark," "Impressionist, human, brush, light"
Jean Arp, "Jean Arp style {prompt}, Dada, abstract, biomorphic, sculpture," "Realism, figurative, geometric, painting"
Ai Weiwei, "Ai Weiwei style {prompt}, Contemporary, political, installation, ceramics," "Renaissance, neutral, oil painting, metals"
Fernand Leger, "Fernand Leger style {prompt}, Cubist, mechanical, mural, bold colors," "Surrealist, organic, small-scale, muted colors"
Yoko Ono, "Yoko Ono style {prompt}, Conceptual, performance, instruction, peace," "Realist, still life, detailed, war"
Cindy Sherman, "Cindy Sherman style {prompt}, Contemporary, self-portrait, photography, identity," "Traditional, landscape, painting, anonymity"
Nam June Paik, "Nam June Paik style {prompt}, Video art, television, interactive, futuristic," "Traditional art, canvas, passive, historical"
Barbara Kruger, "Barbara Kruger style {prompt}, Conceptual, text, black and white, feminist," "Impressionist, image, color, patriarchal"
Piero della Francesca, "Piero della Francesca style {prompt}, Renaissance, fresco, mathematical, religious," "Contemporary, installation, random, secular"
Georgia O'Keeffe, "Georgia O'Keeffe style {prompt}, Modernist, flowers, close-up, sensual," "Cubist, objects, far-off, detached"
Richard Hamilton, "Richard Hamilton style {prompt}, Pop Art, collage, consumer culture, mixed media," "Impressionism, oil painting, rural life, single medium"
Kazimir Malevich, "Kazimir Malevich style {prompt}, Suprematism, abstract, geometric, minimal," "Realism, figurative, detailed, maximal"
Grayson Perry, "Grayson Perry style {prompt}, Contemporary, ceramics, tapestry, narrative," "Old Masters, oil painting, canvas, non-narrative"
Faith Ringgold, "Faith Ringgold style {prompt}, Contemporary, quilt, narrative, feminist," "Abstract, sculpture, non-narrative, masculine"
Banksy, "Banksy style {prompt}, Street Art, stencil, satirical, black and white," "Studio Art, oil painting, serious, color"
Tracey Emin, "Tracey Emin style {prompt}, YBA, confessional, neon, textile," "Old Masters, universal, oil, marble"
Olafur Eliasson, "Olafur Eliasson style {prompt}, Installation, light, environment, perceptual," "Painting, dark, indoors, cognitive"
Kiki Smith, "Kiki Smith style {prompt}, Feminist, body, sculpture, mythological," "Patriarchal, landscape, painting, historical"
David Hockney, "David Hockney style {prompt}, Pop Art, vibrant colors, collage, landscapes," "Abstract Expressionism, muted colors, single panel, figures"
Chris Ofili, "Chris Ofili style {prompt}, YBA, mixed-media, elephant dung, decorative," "Minimalism, single-media, clean, austere"
Ellsworth Kelly, "Ellsworth Kelly style {prompt}, Hard-edge painting, color field, minimalist, geometric," "Impressionism, detailed, ornate, organic" 
Christo and Jeanne-Claude, "Christo and Jeanne-Claude style {prompt}, Installation, environmental, fabric, temporal," "Still Life, indoor, metal, permanent"
Wayne Thiebaud, "Wayne Thiebaud style {prompt}, Pop Art, still life, pastel, thick paint," "Cubism, dynamic scenes, vibrant, thin paint"
Jenny Holzer, "Jenny Holzer style {prompt}, Conceptual, text, LED, public spaces," "Realism, image, oil painting, private spaces"
Antony Gormley, "Antony Gormley style {prompt}, Sculpture, human form, rusted metal, public art," "Painting, abstract, bright colors, gallery art"
Maurice Sendak, "Maurice Sendak style {prompt}, Children's illustration, fantasy, detailed, narrative," "Abstract, adult, minimalist, non-narrative"
Charismatic,"{prompt} with charisma, 50mm lens, f/2,8, focused on eyes, natural lighting","overexposed, underexposed, blurry, distorted, overprocessed"
Cinematic,"cinematic portrait of {prompt}, 85mm lens, f/1,8, dramatic side lighting, moody atmosphere","overblown highlights, noisy, grainy, oversaturated, wide-angle distortion"
Environmental,"environmental portrait of {prompt}, 35mm lens, f/4, wider context, natural surroundings","cluttered background, poor lighting, overexposed, underexposed, unsharp"
Reportage,"gripping reportage of {prompt}, Wide-angle lens, f/8, focus on action, capture the moment","blurred action, low light noise, unsteady shot, out of focus, distorted perspective"
Candid,"candid shot of {prompt}, 50mm lens, f/2,8, spontaneous, unposed","poor lighting, motion blur, out of focus, distracting background, overprocessed"
Documentary,"documentary style of {prompt}, 35mm lens, f/5,6, truthful representation, neutral perspective","overexposed, underexposed, oversaturated, motion blur, unsteady shot"
Haute Couture,"haute couture display of {prompt}, 85mm lens, f/2,2, vibrant colors, dramatic lighting","flat lighting, out of focus, distracting background, overprocessed, oversaturated"
Editorial,"editorial fashion shot of {prompt}, 50mm lens, f/2,5, storytelling, focused on outfit","unflattering pose, poor lighting, blurry, distracting elements, overexposed"
Catalog,"catalog shot of {prompt}, 70mm lens, f/5,6, neutral background, clear focus on attire","poor lighting, unflattering angles, distorted perspective, underexposed, oversaturated"
Action-packed,"action-packed shot of {prompt}, 200mm lens, f/2,8, high shutter speed, capture the peak moment","motion blur, underexposed, out of focus, distracting background, unsteady shot"
Emotional,"emotional moment in {prompt}, 135mm lens, f/4, capture expressions, ambient lighting","poor focus, high ISO noise, unsteady shot, underexposed, distorted colors"
Narrative,"narrative image of {prompt}, 50mm lens, f/3,5, storytelling, context setting","unfocused, poor lighting, cluttered composition, overexposed, distorted perspective"
Minimalistic,"minimalistic composition of {prompt}, 50mm lens, f/5,6, simplistic design, neutral colors","cluttered, oversaturated, unbalanced composition, poor lighting, overexposed"
Dramatic,"dramatic still life of {prompt}, 85mm lens, f/2,2, dramatic lighting, intense colors","flat lighting, blurry, underexposed, distracting elements, oversaturated"
Rustic,"rustic presentation of {prompt}, 35mm lens, f/4, natural elements, warm tones","poor focus, overexposed, cluttered, cold colors, unbalanced composition"
Investigative,"investigative shot of {prompt}, 24mm lens, f/4, informative, intriguing","blurry, underexposed, distorted perspective, high ISO noise, distracting elements"
Lifestyle,"lifestyle capture of {prompt}, 50mm lens, f/2,8, candid, vibrant colors","poor lighting, overprocessed, distracting background, motion blur, unsteady shot"
Opinion,"opinion image of {prompt}, 35mm lens, f/5,6, emotive, storytelling","poor focus, underexposed, cluttered composition, overexposed highlights, distorted colors"
Historical,"historical capture of {prompt}, 24mm lens, f/8, capture architectural details, natural lighting","distorted perspective, underexposed, overprocessed, unsharp, oversaturated"
Modernist,"modernist view of {prompt}, 18mm lens, f/4, minimalistic, strong lines","barrel distortion, overexposed, blurry, poor composition, flat colors"
Surreal,"surreal perspective of {prompt}, Fisheye lens, f/2,8, abstract interpretation, vibrant colors","unfocused, poor lighting, underexposed, overprocessed, distracting elements"
Steampunk,"steampunk-inspired {prompt}, gears, brass, rivets, old-world technology, intricate, highly detailed, Victorian,"ugly, deformed, noisy, blurry, minimalistic, sleek"
Futuristic,"futuristic interpretation of {prompt}, sleek, high-tech, metallic, smooth surfaces, neon, sharp edges, crystal clear, professional, ultra detailed,"ugly, deformed, noisy, blurry, rustic, vintage, antique"
Abstract Expressionism,"Abstract Expressionist style of {prompt}, bold colors, vigorous brushwork, non-representational, spontaneous, expressive, emotional,"boring, monotone, plain, still, unemotional, realistic, photographic"
Surrealism,"surrealistic {prompt}, dreamlike, subconscious, bizarre, highly detailed, intricate, imaginative, illogical juxtaposition,"clear, realistic, boring, typical, straightforward, concrete, photographic"
Watercolor,"watercolor painting of {prompt}, fluid, soft edges, light colors, translucent, delicate, dreamy,"hard, geometric, precise, opaque, harsh, dark, sharp, digital, pixelated"
Pointillism,"pointillist technique on {prompt}, tiny dots of color, optical blend, detailed, vibrant, rich,"solid, monochromatic, bland, minimalist, soft, blurry"
Cubism,"cubist interpretation of {prompt}, geometric forms, multi-perspective, abstract, fragmented, complex,"rounded, realistic, photographic, simple, straightforward, traditional"
Gothic,"gothic style {prompt}, dark, mysterious, medieval, ornate, intricate, detailed, haunting,"bright, modern, simple, minimalist, cheerful, photorealistic"
Pop Art,"pop art style {prompt}, bold colors, mass culture, comic style, ironical, vibrant, detailed,"neutral, realistic, serious, dull, monochromatic, photographic"
Impressionism,"impressionist take on {prompt}, loose brushwork, light color, emphasis on light and movement, emotive, painterly,"tight, photographic, dark, stationary, unemotional, sharp, digital"
Street Art,"street art version of {prompt}, urban, graffiti, spray paint, vibrant, bold, rough, rebellious,"elegant, refined, traditional, delicate, soft, photorealistic"
Art Nouveau,"art nouveau style {prompt}, elegant, ornate, flowing lines, detailed, decorative,"simple, modern, sharp, minimalistic, geometric, unadorned"
Charcoal,"charcoal sketch of {prompt}, dark, grainy, high contrast, loose, dramatic,"light, smooth, precise, colorful, clean, photographic"
Collage,"collage of {prompt}, mixed media, eclectic, detailed, layered, creative,"uniform, minimalistic, simple, clean, digital, monochromatic"
Minimalist,"minimalist {prompt}, clean lines, simple shapes, limited color palette, modern, sleek,"detailed, ornate, decorative, colorful, chaotic, complex"
Graffiti,"graffiti style {prompt}, street art, bold, colorful, vibrant, dynamic, urban, rebellious, intricate,"refined, subtle, soft, elegant, traditional, photorealistic"
Trompe L'oeil,"trompe l'oeil of {prompt}, hyperrealistic, 3d illusion, detailed, deceptive, intricate,"abstract, flat, simple, symbolic, unrealistic, distorted"
Fauvism,"fauvist interpretation of {prompt}, wild brushwork, vibrant color, expressive, bold, emotive, painterly,"neutral, precise, calm, realistic, photographic, subdued"
Hyperrealism,"hyperrealistic {prompt}, photorealistic, extreme detail, lifelike, crisp, precise,"blurry, abstract, loose, impressionistic, simple, symbolic"
Dada,"dadaist version of {prompt}, anti-art, absurd, random, satirical, mixed media, collage,"traditional, sensible, serious, realistic, photorealistic"
Calligraphy,"calligraphy style {prompt}, elegant, flowing, precise, detailed, intricate, hand-drawn,"bold, blocky, geometric, rough, digital, simple"
Baroque,"baroque rendition of {prompt}, opulent, grand, ornate, dramatic, detailed, decorative,"minimalist, modern, simple, clean, unadorned, geometric"
Op Art,"op art style {prompt}, optical illusion, geometric, vibrant, dynamic, detailed, bold,"soft, organic, loose, subdued, simple, unpatterned"
Psychedelic,"psychedelic version of {prompt}, vibrant color, distorted visuals, swirling patterns, trippy, detailed, intricate,"neutral, realistic, orderly, simple, clear, photorealistic"
Scratchboard,"scratchboard technique on {prompt}, contrast, engraved, black and white, detailed, dramatic,"colorful, soft, loose, blended, photorealistic"
Botanical Illustration,"botanical illustration of {prompt}, detailed, accurate, precise, delicate, naturalistic,"abstract, loose, imprecise, bold, exaggerated, symbolic"
Lithography,"lithograph of {prompt}, printmaking, smooth, detailed, bold, graphic,"rough, textured, loose, brushy, three dimensional"
Mosaic,"mosaic of {prompt}, tiled, geometric, vibrant, intricate, decorative,"soft, organic, loose, simple, smooth, unpatterned"
Woodcut,"woodcut style {prompt}, carved, bold lines, high contrast, rustic, handmade,"smooth, soft, delicate, digital, photorealistic"
Stencil Art,"stencil art of {prompt}, sharp edges, bold, graphic, street art style, vibrant,"soft, loose, organic, brushy, traditional"
Rotoscoping,"rotoscoped {prompt}, traced, animation style, smooth, realistic, detailed,"abstract, symbolic, rough, loose, blocky"
Glass Painting,"glass painting of {prompt}, translucent, vibrant, decorative, intricate, glossy,"matte, dull, loose, rough, opaque"
Art Deco,"art deco interpretation of {prompt}, geometric, bold, symmetrical, ornate, detailed, decorative,"soft, organic, asymmetrical, minimalist, simple"
Hard Edge Painting,"hard edge painting of {prompt}, geometric, sharp edges, flat color, modern, bold,"soft, organic, loose, textured, detailed, photorealistic"
Drybrush,"drybrush technique on {prompt}, rough texture, loose brushwork, subtle detail, expressive, painterly,"smooth, precise, clean, detailed, photorealistic"
Silhouette,"silhouette of {prompt}, high contrast, dramatic, simple, bold, graphic,"detailed, textured, colorful, light, photorealistic"
Plein Air,"plein air painting of {prompt}, outdoor, natural light, vibrant, loose, expressive,"studio, artificial, precise, tight, clean, photorealistic"
Ink Wash,"ink wash painting of {prompt}, monochromatic, loose, fluid, expressive, delicate,"colorful, tight, dry, bold, detailed, photorealistic"
